subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
14,104,2,238,-0.5,-0.5,0,2,NaN,1,2,717,1,1,717,1,0,1.4,0.4,0.140063017990301,0.140063017990301,750,0,0,neutral,0.1,2651.22582221998,1559.39679396379
14,104,2,239,0.5,-0.5,-0.5,4,4,1,4,749,1,1,749,1,0,1.2,NaN,0.397562804297678,0.397562804297678,750,1,0,congruent,1,1074.29709066658,442.452082655388
14,104,2,240,0.5,-0.5,0.5,3,2,1,3,644,1,1,644,1,0,1.4,NaN,-0.4473583695234,-0.4473583695234,750,0,0,incongruent,1,2497.60984578508,3481.57033627342
14,104,2,241,-0.5,-0.5,-0.5,1,1,1,1,767,1,0,767,1,0,1.4,0.4,0.542406434095577,0.542406434095577,750,1,0,congruent,0.1,7250.88817253805,2716.10448532253
14,104,2,242,0.5,-0.5,-0.5,4,4,1,4,684,1,1,684,1,0,1.4,NaN,-0.12548363663918,-0.12548363663918,750,1,0,congruent,1,6759.50959937503,3854.56402143544
14,104,2,243,-0.5,0.5,0,2,NaN,1,2,682,1,1,682,1,0,1.6,0.8,-0.141577373283391,-0.141577373283391,750,0,0,neutral,0.1,4009.14903834752,2517.87865194144
14,104,2,244,0.5,0.5,0.5,3,4,1,3,650,1,1,650,1,0,1.6,NaN,-0.399077159590767,-0.399077159590767,750,0,0,incongruent,1,1121.26765421559,1104.9964381655
14,104,2,245,-0.5,-0.5,-0.5,1,1,1,1,874,1,0,874,1,0,1.6,0.6,1.40342134456087,1.40342134456087,750,1,0,congruent,0.1,2039.3290946902,3218.57331651214
14,104,2,247,-0.5,0.5,-0.5,1,1,1,1,663,1,1,663,1,0,1.4,1,-0.294467871403396,-0.294467871403396,750,1,0,congruent,0.1,2217.53012439311,1997.4941416817
14,104,2,248,0.5,0.5,-0.5,4,4,1,4,610,1,1,610,1,0,1.2,NaN,-0.720951892474987,-0.720951892474987,750,1,0,congruent,1,542.57004469767,1352.93024091493
14,104,2,249,-0.5,0.5,0,2,NaN,1,2,659,1,1,659,1,0,1.4,1,-0.326655344691818,-0.326655344691818,750,0,0,neutral,0.1,2115.1902808155,2643.16647305593
14,104,2,250,0.5,0.5,0.5,1,2,1,1,896,1,0,896,0,0,1.2,NaN,1.58045244764719,1.58045244764719,750,0,0,incongruent,0,849.414673844761,2318.20668392237
